code,name,trust,population,blue_fraction,deaths_per_100k,deaths_in_global_game,local_win,critical_altruism_self_save
DNK,Denmark,0.74,5800000,0.4173345558900593,41733.5,2420540,False,0.3423445767557859
NOR,Norway,0.72,5400000,0.374693359817336,37469.3,2023344,False,0.3795322362947039
NLD,Netherlands,0.66,17400000,0.26153022914994145,26153.0,4550626,False,0.5054794755889225
CHN,China,0.64,1402000000,0.22912326919531617,22912.3,321230823,False,0.5530315881964598
SWE,Sweden,0.63,10300000,0.21394335071462953,21394.3,2203617,False,0.5780066897134016
CHE,Switzerland,0.59,8600000,0.15997962545832559,15998.0,1375825,False,0.6868900935419973
FIN,Finland,0.58,5500000,0.14814008789785418,14814.0,814770,False,0.7165998175397171
NZL,New Zealand,0.57,5100000,0.1369390607302585,13693.9,698389,False,0.7474150988662381
AUS,Australia,0.48,25700000,0.062140277272812794,6214.0,1597005,False,
GBR,UK,0.46,67200000,0.05102038389595199,5102.0,3428570,False,
DEU,Germany,0.42,83200000,0.03351530956536549,3351.5,2788474,False,
CAN,Canada,0.42,38000000,0.03351530956536549,3351.5,1273582,False,
USA,USA,0.37,331000000,0.018802720892209523,1880.3,6223701,False,
JPN,Japan,0.36,125800000,0.016622680580243805,1662.3,2091133,False,
IND,India,0.22,1380000000,0.0021245785926605554,212.5,2931918,False,
ESP,Spain,0.27,47300000,0.0047996788118972785,480.0,227025,False,
FRA,France,0.26,67400000,0.004111152174841312,411.1,277092,False,
RUS,Russia,0.24,144100000,0.002980775036274837,298.1,429530,False,
ARG,Argentina,0.2,45400000,0.0014858157849127539,148.6,67456,False,
MEX,Mexico,0.13,128900000,0.0003507570066716856,35.1,45213,False,
TUR,Turkey,0.13,84300000,0.0003507570066716856,35.1,29569,False,
BRA,Brazil,0.07,212600000,6.874317559769413e-05,6.9,14615,False,
COL,Colombia,0.05,50900000,3.3789518553135596e-05,3.4,1720,False,
,Rest of world,0.18,2700000000,0.0010170858467188583,101.7,2746132,False,
